amount,#total,#benign,#fraud,%fraud
321.46,2,0,2,100.0
276.72,2,0,2,100.0
521.63,2,0,2,100.0
256.27,2,0,2,100.0
322.51,2,0,2,100.0
400.32,2,0,2,100.0
289.44,2,0,2,100.0
368.76,2,0,2,100.0
261.86,2,0,2,100.0
709.73,2,0,2,100.0
370.38,2,0,2,100.0
222.37,2,0,2,100.0
444.55,2,0,2,100.0
462.99,2,0,2,100.0
307.6,2,0,2,100.0
267.81,2,0,2,100.0
156.57,2,0,2,100.0
190.43,2,0,2,100.0
344.67,2,0,2,100.0
310.04,2,0,2,100.0
308.62,2,0,2,100.0
324.08,2,0,2,100.0
713.89,2,0,2,100.0
350.71,2,0,2,100.0
163.24,2,0,2,100.0
719.93,2,0,2,100.0
404.22,2,0,2,100.0
480.89,2,0,2,100.0
903.19,2,0,2,100.0
389.82,2,0,2,100.0
311.15,2,0,2,100.0
374.24,2,0,2,100.0
398.27,2,0,2,100.0
164.33,2,0,2,100.0
590.54,2,0,2,100.0
336.32,2,0,2,100.0
324.72,2,0,2,100.0
479.75,2,0,2,100.0
650.02,2,0,2,100.0
576.71,2,0,2,100.0
200.69,2,0,2,100.0
154.97,2,0,2,100.0
339.73,2,0,2,100.0
226.39,2,0,2,100.0
216.44,2,0,2,100.0
374.87,2,0,2,100.0
597.02,2,0,2,100.0
1024.36,2,0,2,100.0
397.79,2,0,2,100.0
243.87,2,0,2,100.0
210.91,2,0,2,100.0
355.82,2,0,2,100.0
203.72,2,0,2,100.0
462.78,2,0,2,100.0
350.34,2,0,2,100.0
136.17,2,0,2,100.0
418.04,2,0,2,100.0
255.04,2,0,2,100.0
272.97,2,0,2,100.0
213.62,2,0,2,100.0
182.97,2,0,2,100.0
303.92,2,0,2,100.0
220.11,1,0,1,100.0
278.02,1,0,1,100.0
667.09,1,0,1,100.0
520.5,1,0,1,100.0
451.92,1,0,1,100.0
305.11,1,0,1,100.0
764.0,1,0,1,100.0
328.02,1,0,1,100.0
707.22,1,0,1,100.0
198.58,1,0,1,100.0
304.21,1,0,1,100.0
154.77,1,0,1,100.0
122.04,1,0,1,100.0
881.04,1,0,1,100.0
432.27,1,0,1,100.0
289.21,1,0,1,100.0
560.9,1,0,1,100.0
135.11,1,0,1,100.0
256.37,1,0,1,100.0
189.22,1,0,1,100.0
364.68,1,0,1,100.0
398.57,1,0,1,100.0
506.77,1,0,1,100.0
383.14,1,0,1,100.0
321.7,1,0,1,100.0
908.5,1,0,1,100.0
933.69,1,0,1,100.0
352.7,1,0,1,100.0
1041.31,1,0,1,100.0
591.83,1,0,1,100.0
298.44,1,0,1,100.0
905.54,1,0,1,100.0
1126.96,1,0,1,100.0
399.22,1,0,1,100.0
3387.85,1,0,1,100.0
6888.3,1,0,1,100.0
397.63,1,0,1,100.0
809.46,1,0,1,100.0
896.93,1,0,1,100.0
396.36,1,0,1,100.0
661.53,1,0,1,100.0
801.49,1,0,1,100.0
149.11,1,0,1,100.0
836.04,1,0,1,100.0
195.37,1,0,1,100.0
307.06,1,0,1,100.0
646.92,1,0,1,100.0
526.09,1,0,1,100.0
349.85,1,0,1,100.0
788.67,1,0,1,100.0
1167.18,1,0,1,100.0
184.72,1,0,1,100.0
258.01,1,0,1,100.0
586.05,1,0,1,100.0
663.53,1,0,1,100.0
297.09,1,0,1,100.0
486.35,1,0,1,100.0
1022.06,1,0,1,100.0
532.05,1,0,1,100.0
253.25,1,0,1,100.0
503.68,1,0,1,100.0
478.89,1,0,1,100.0
891.0,1,0,1,100.0
1304.93,1,0,1,100.0
572.01,1,0,1,100.0
242.03,1,0,1,100.0
272.16,1,0,1,100.0
546.26,1,0,1,100.0
158.25,1,0,1,100.0
1079.27,1,0,1,100.0
653.5,1,0,1,100.0
7432.48,1,0,1,100.0
490.84,1,0,1,100.0
644.59,1,0,1,100.0
279.15,1,0,1,100.0
585.13,1,0,1,100.0
848.4,1,0,1,100.0
281.12,1,0,1,100.0
709.28,1,0,1,100.0
426.7,1,0,1,100.0
213.53,1,0,1,100.0
149.94,1,0,1,100.0
386.21,1,0,1,100.0
571.7,1,0,1,100.0
389.98,1,0,1,100.0
480.88,1,0,1,100.0
504.97,1,0,1,100.0
643.71,1,0,1,100.0
260.03,1,0,1,100.0
356.47,1,0,1,100.0
4883.62,1,0,1,100.0
237.95,1,0,1,100.0
701.22,1,0,1,100.0
428.54,1,0,1,100.0
716.17,1,0,1,100.0
699.94,1,0,1,100.0
361.28,1,0,1,100.0
3334.89,1,0,1,100.0
5107.7,1,0,1,100.0
1025.56,1,0,1,100.0
833.47,1,0,1,100.0
423.5,1,0,1,100.0
311.94,1,0,1,100.0
447.53,1,0,1,100.0
591.16,1,0,1,100.0
425.25,1,0,1,100.0
3999.35,1,0,1,100.0
2973.46,1,0,1,100.0
318.12,1,0,1,100.0
987.86,1,0,1,100.0
702.72,1,0,1,100.0
1083.7,1,0,1,100.0
580.99,1,0,1,100.0
290.15,1,0,1,100.0
158.83,1,0,1,100.0
541.86,1,0,1,100.0
372.92,1,0,1,100.0
336.82,1,0,1,100.0
427.51,1,0,1,100.0
697.85,1,0,1,100.0
475.9,1,0,1,100.0
193.16,1,0,1,100.0
266.0,1,0,1,100.0
390.28,1,0,1,100.0
238.14,1,0,1,100.0
386.8,1,0,1,100.0
437.41,1,0,1,100.0
259.75,1,0,1,100.0
261.99,1,0,1,100.0
851.71,1,0,1,100.0
3682.79,1,0,1,100.0
2832.02,1,0,1,100.0
366.36,1,0,1,100.0
368.73,1,0,1,100.0
132.75,1,0,1,100.0
613.67,1,0,1,100.0
278.32,1,0,1,100.0
317.82,1,0,1,100.0
136.42,1,0,1,100.0
187.51,1,0,1,100.0
592.33,1,0,1,100.0
565.08,1,0,1,100.0
573.85,1,0,1,100.0
215.28,1,0,1,100.0
384.63,1,0,1,100.0
228.93,1,0,1,100.0
249.8,1,0,1,100.0
576.88,1,0,1,100.0
644.15,1,0,1,100.0
161.63,1,0,1,100.0
661.19,1,0,1,100.0
201.7,1,0,1,100.0
306.04,1,0,1,100.0
264.18,1,0,1,100.0
154.45,1,0,1,100.0
5326.55,1,0,1,100.0
297.43,1,0,1,100.0
255.29,1,0,1,100.0
3611.11,1,0,1,100.0
2503.3,1,0,1,100.0
776.51,1,0,1,100.0
563.2,1,0,1,100.0
817.59,1,0,1,100.0
398.85,1,0,1,100.0
268.04,1,0,1,100.0
614.25,1,0,1,100.0
418.09,1,0,1,100.0
627.98,1,0,1,100.0
5070.57,1,0,1,100.0
4762.5,1,0,1,100.0
460.96,1,0,1,100.0
6142.59,1,0,1,100.0
2981.86,1,0,1,100.0
925.66,1,0,1,100.0
283.87,1,0,1,100.0
628.61,1,0,1,100.0
595.15,1,0,1,100.0
784.69,1,0,1,100.0
242.75,1,0,1,100.0
232.54,1,0,1,100.0
969.68,1,0,1,100.0
152.74,1,0,1,100.0
830.57,1,0,1,100.0
437.38,1,0,1,100.0
4046.65,1,0,1,100.0
3065.22,1,0,1,100.0
672.44,1,0,1,100.0
3020.3,1,0,1,100.0
580.48,1,0,1,100.0
223.8,1,0,1,100.0
353.16,1,0,1,100.0
284.46,1,0,1,100.0
314.22,1,0,1,100.0
3922.14,1,0,1,100.0
3194.56,1,0,1,100.0
845.44,1,0,1,100.0
154.79,1,0,1,100.0
486.91,1,0,1,100.0
2854.69,1,0,1,100.0
4217.86,1,0,1,100.0
499.7,1,0,1,100.0
514.2,1,0,1,100.0
901.32,1,0,1,100.0
423.05,1,0,1,100.0
468.82,1,0,1,100.0
261.85,1,0,1,100.0
498.38,1,0,1,100.0
656.54,1,0,1,100.0
305.38,1,0,1,100.0
278.2,1,0,1,100.0
689.86,1,0,1,100.0
526.63,1,0,1,100.0
274.14,1,0,1,100.0
648.71,1,0,1,100.0
245.49,1,0,1,100.0
766.11,1,0,1,100.0
346.57,1,0,1,100.0
642.15,1,0,1,100.0
293.53,1,0,1,100.0
374.89,1,0,1,100.0
396.61,1,0,1,100.0
535.42,1,0,1,100.0
284.12,1,0,1,100.0
377.53,1,0,1,100.0
441.49,1,0,1,100.0
533.84,1,0,1,100.0
371.45,1,0,1,100.0
319.73,1,0,1,100.0
3799.04,1,0,1,100.0
2917.32,1,0,1,100.0
396.62,1,0,1,100.0
301.36,1,0,1,100.0
634.76,1,0,1,100.0
360.09,1,0,1,100.0
270.6,1,0,1,100.0
313.5,1,0,1,100.0
464.28,1,0,1,100.0
262.63,1,0,1,100.0
378.11,1,0,1,100.0
350.56,1,0,1,100.0
274.91,1,0,1,100.0
780.28,1,0,1,100.0
159.43,1,0,1,100.0
400.38,1,0,1,100.0
340.11,1,0,1,100.0
576.72,1,0,1,100.0
532.68,1,0,1,100.0
555.92,1,0,1,100.0
415.09,1,0,1,100.0
328.51,1,0,1,100.0
1022.83,1,0,1,100.0
224.25,1,0,1,100.0
202.42,1,0,1,100.0
456.64,1,0,1,100.0
380.24,1,0,1,100.0
546.86,1,0,1,100.0
467.89,1,0,1,100.0
597.17,1,0,1,100.0
296.92,1,0,1,100.0
867.29,1,0,1,100.0
171.67,1,0,1,100.0
729.03,1,0,1,100.0
198.42,1,0,1,100.0
769.16,1,0,1,100.0
326.1,1,0,1,100.0
303.99,1,0,1,100.0
251.34,1,0,1,100.0
242.5,1,0,1,100.0
278.59,1,0,1,100.0
604.59,1,0,1,100.0
446.06,1,0,1,100.0
458.52,1,0,1,100.0
320.67,1,0,1,100.0
425.38,1,0,1,100.0
694.15,1,0,1,100.0
703.95,1,0,1,100.0
606.91,1,0,1,100.0
442.9,1,0,1,100.0
261.87,1,0,1,100.0
2846.67,1,0,1,100.0
2077.72,1,0,1,100.0
202.33,1,0,1,100.0
399.81,1,0,1,100.0
663.05,1,0,1,100.0
736.28,1,0,1,100.0
261.05,1,0,1,100.0
352.28,1,0,1,100.0
403.01,1,0,1,100.0
253.12,1,0,1,100.0
186.54,1,0,1,100.0
615.84,1,0,1,100.0
318.67,1,0,1,100.0
275.82,1,0,1,100.0
421.35,1,0,1,100.0
871.66,1,0,1,100.0
314.96,1,0,1,100.0
202.93,1,0,1,100.0
635.86,1,0,1,100.0
659.47,1,0,1,100.0
354.31,1,0,1,100.0
871.01,1,0,1,100.0
881.09,1,0,1,100.0
325.14,1,0,1,100.0
512.29,1,0,1,100.0
251.74,1,0,1,100.0
291.98,1,0,1,100.0
187.29,1,0,1,100.0
190.23,1,0,1,100.0
379.73,1,0,1,100.0
402.4,1,0,1,100.0
472.62,1,0,1,100.0
304.17,1,0,1,100.0
760.03,1,0,1,100.0
199.75,1,0,1,100.0
514.25,1,0,1,100.0
241.93,1,0,1,100.0
128.09,1,0,1,100.0
552.07,1,0,1,100.0
574.46,1,0,1,100.0
508.6,1,0,1,100.0
393.81,1,0,1,100.0
312.62,1,0,1,100.0
1008.56,1,0,1,100.0
508.13,1,0,1,100.0
558.0,1,0,1,100.0
427.28,1,0,1,100.0
615.91,1,0,1,100.0
373.37,1,0,1,100.0
353.03,1,0,1,100.0
255.63,1,0,1,100.0
627.8,1,0,1,100.0
635.52,1,0,1,100.0
571.59,1,0,1,100.0
239.62,1,0,1,100.0
294.98,1,0,1,100.0
500.54,1,0,1,100.0
247.56,1,0,1,100.0
238.36,1,0,1,100.0
846.61,1,0,1,100.0
3333.31,1,0,1,100.0
1998.45,1,0,1,100.0
4909.26,1,0,1,100.0
1070.23,1,0,1,100.0
433.62,1,0,1,100.0
413.74,1,0,1,100.0
596.32,1,0,1,100.0
191.17,1,0,1,100.0
747.24,1,0,1,100.0
223.42,1,0,1,100.0
401.78,1,0,1,100.0
213.82,1,0,1,100.0
507.18,1,0,1,100.0
245.26,1,0,1,100.0
773.59,1,0,1,100.0
336.25,1,0,1,100.0
569.3,1,0,1,100.0
313.64,1,0,1,100.0
178.75,1,0,1,100.0
302.83,1,0,1,100.0
364.07,1,0,1,100.0
350.0,1,0,1,100.0
814.44,1,0,1,100.0
494.42,1,0,1,100.0
572.36,1,0,1,100.0
835.0,1,0,1,100.0
769.75,1,0,1,100.0
341.34,1,0,1,100.0
264.56,1,0,1,100.0
785.45,1,0,1,100.0
592.15,1,0,1,100.0
382.54,1,0,1,100.0
133.69,1,0,1,100.0
353.11,1,0,1,100.0
781.61,1,0,1,100.0
995.2,1,0,1,100.0
500.43,1,0,1,100.0
287.36,1,0,1,100.0
220.93,1,0,1,100.0
252.59,1,0,1,100.0
971.32,1,0,1,100.0
201.88,1,0,1,100.0
156.11,1,0,1,100.0
384.11,1,0,1,100.0
406.5,1,0,1,100.0
168.24,1,0,1,100.0
298.04,1,0,1,100.0
402.29,1,0,1,100.0
226.55,1,0,1,100.0
124.37,1,0,1,100.0
268.72,1,0,1,100.0
319.06,1,0,1,100.0
586.21,1,0,1,100.0
217.52,1,0,1,100.0
760.81,1,0,1,100.0
136.18,1,0,1,100.0
381.93,1,0,1,100.0
437.59,1,0,1,100.0
260.51,1,0,1,100.0
239.47,1,0,1,100.0
396.92,1,0,1,100.0
378.48,1,0,1,100.0
667.76,1,0,1,100.0
135.72,1,0,1,100.0
427.76,1,0,1,100.0
254.31,1,0,1,100.0
813.14,1,0,1,100.0
5736.56,1,0,1,100.0
386.87,1,0,1,100.0
277.08,1,0,1,100.0
377.26,1,0,1,100.0
130.4,1,0,1,100.0
529.78,1,0,1,100.0
289.54,1,0,1,100.0
466.47,1,0,1,100.0
265.75,1,0,1,100.0
413.44,1,0,1,100.0
414.86,1,0,1,100.0
305.75,1,0,1,100.0
862.53,1,0,1,100.0
116.03,1,0,1,100.0
321.61,1,0,1,100.0
5577.33,1,0,1,100.0
2278.82,1,0,1,100.0
253.4,1,0,1,100.0
345.18,1,0,1,100.0
293.41,1,0,1,100.0
503.08,1,0,1,100.0
836.72,1,0,1,100.0
493.79,1,0,1,100.0
520.11,1,0,1,100.0
590.37,1,0,1,100.0
752.35,1,0,1,100.0
404.65,1,0,1,100.0
578.0,1,0,1,100.0
533.1,1,0,1,100.0
2909.61,1,0,1,100.0
1393.18,1,0,1,100.0
368.53,1,0,1,100.0
2668.66,1,0,1,100.0
3007.98,1,0,1,100.0
503.5,1,0,1,100.0
124.01,1,0,1,100.0
299.42,1,0,1,100.0
411.49,1,0,1,100.0
441.37,1,0,1,100.0
476.43,1,0,1,100.0
325.01,1,0,1,100.0
165.83,1,0,1,100.0
667.19,1,0,1,100.0
304.26,1,0,1,100.0
1021.5,1,0,1,100.0
801.73,1,0,1,100.0
251.42,1,0,1,100.0
472.17,1,0,1,100.0
329.89,1,0,1,100.0
698.77,1,0,1,100.0
370.14,1,0,1,100.0
387.96,1,0,1,100.0
4729.74,1,0,1,100.0
410.67,1,0,1,100.0
715.2,1,0,1,100.0
375.73,1,0,1,100.0
127.05,1,0,1,100.0
410.34,1,0,1,100.0
535.25,1,0,1,100.0
91.39,1,0,1,100.0
774.13,1,0,1,100.0
233.48,1,0,1,100.0
712.12,1,0,1,100.0
1167.7,1,0,1,100.0
977.76,1,0,1,100.0
478.85,1,0,1,100.0
334.25,1,0,1,100.0
464.45,1,0,1,100.0
592.91,1,0,1,100.0
562.03,1,0,1,100.0
529.4,1,0,1,100.0
362.29,1,0,1,100.0
339.76,1,0,1,100.0
904.45,1,0,1,100.0
165.11,1,0,1,100.0
346.43,1,0,1,100.0
825.66,1,0,1,100.0
3612.92,1,0,1,100.0
615.5,1,0,1,100.0
370.59,1,0,1,100.0
268.98,1,0,1,100.0
1450.82,1,0,1,100.0
2221.54,1,0,1,100.0
3993.1,1,0,1,100.0
2248.92,1,0,1,100.0
553.51,1,0,1,100.0
907.57,1,0,1,100.0
571.05,1,0,1,100.0
395.0,1,0,1,100.0
238.94,1,0,1,100.0
322.94,1,0,1,100.0
314.2,1,0,1,100.0
728.96,1,0,1,100.0
995.89,1,0,1,100.0
359.16,1,0,1,100.0
335.37,1,0,1,100.0
1111.65,1,0,1,100.0
164.5,1,0,1,100.0
340.67,1,0,1,100.0
374.27,1,0,1,100.0
106.4,1,0,1,100.0
120.55,1,0,1,100.0
336.43,1,0,1,100.0
841.53,1,0,1,100.0
252.85,1,0,1,100.0
3132.69,1,0,1,100.0
1381.39,1,0,1,100.0
293.82,1,0,1,100.0
794.53,1,0,1,100.0
442.88,1,0,1,100.0
813.32,1,0,1,100.0
455.24,1,0,1,100.0
738.17,1,0,1,100.0
587.94,1,0,1,100.0
272.33,1,0,1,100.0
343.63,1,0,1,100.0
588.14,1,0,1,100.0
281.69,1,0,1,100.0
249.76,1,0,1,100.0
331.2,1,0,1,100.0
792.73,1,0,1,100.0
275.03,1,0,1,100.0
307.86,1,0,1,100.0
808.28,1,0,1,100.0
388.76,1,0,1,100.0
328.66,1,0,1,100.0
668.03,1,0,1,100.0
215.06,1,0,1,100.0
298.5,1,0,1,100.0
2087.38,1,0,1,100.0
3458.16,1,0,1,100.0
442.28,1,0,1,100.0
604.79,1,0,1,100.0
354.82,1,0,1,100.0
374.58,1,0,1,100.0
981.34,1,0,1,100.0
273.02,1,0,1,100.0
149.15,1,0,1,100.0
143.09,1,0,1,100.0
607.85,1,0,1,100.0
308.71,1,0,1,100.0
615.22,1,0,1,100.0
145.36,1,0,1,100.0
660.8,1,0,1,100.0
178.0,1,0,1,100.0
886.98,1,0,1,100.0
420.48,1,0,1,100.0
213.92,1,0,1,100.0
173.08,1,0,1,100.0
3885.8,1,0,1,100.0
751.43,1,0,1,100.0
876.23,1,0,1,100.0
744.97,1,0,1,100.0
267.16,1,0,1,100.0
1451.61,1,0,1,100.0
1182.85,1,0,1,100.0
3570.95,1,0,1,100.0
4352.29,1,0,1,100.0
249.43,1,0,1,100.0
1130.3,1,0,1,100.0
715.99,1,0,1,100.0
108.63,1,0,1,100.0
302.06,1,0,1,100.0
435.88,1,0,1,100.0
120.43,1,0,1,100.0
749.56,1,0,1,100.0
288.94,1,0,1,100.0
288.2,1,0,1,100.0
633.78,1,0,1,100.0
375.64,1,0,1,100.0
406.18,1,0,1,100.0
301.87,1,0,1,100.0
402.13,1,0,1,100.0
528.12,1,0,1,100.0
528.64,1,0,1,100.0
420.57,1,0,1,100.0
271.61,1,0,1,100.0
645.68,1,0,1,100.0
768.02,1,0,1,100.0
228.7,1,0,1,100.0
506.24,1,0,1,100.0
488.02,1,0,1,100.0
597.47,1,0,1,100.0
551.84,1,0,1,100.0
528.87,1,0,1,100.0
138.61,1,0,1,100.0
606.29,1,0,1,100.0
418.91,1,0,1,100.0
182.87,1,0,1,100.0
440.66,1,0,1,100.0
490.43,1,0,1,100.0
455.25,1,0,1,100.0
369.24,1,0,1,100.0
431.16,1,0,1,100.0
454.4,1,0,1,100.0
451.61,1,0,1,100.0
335.36,1,0,1,100.0
344.4,1,0,1,100.0
648.32,1,0,1,100.0
3136.45,1,0,1,100.0
1268.7,1,0,1,100.0
814.56,1,0,1,100.0
743.27,1,0,1,100.0
1034.82,1,0,1,100.0
260.61,1,0,1,100.0
399.49,1,0,1,100.0
306.27,1,0,1,100.0
162.61,1,0,1,100.0
214.61,1,0,1,100.0
388.56,1,0,1,100.0
228.49,1,0,1,100.0
553.64,1,0,1,100.0
2783.07,1,0,1,100.0
861.98,1,0,1,100.0
780.52,1,0,1,100.0
332.1,1,0,1,100.0
278.84,1,0,1,100.0
271.1,1,0,1,100.0
600.1,1,0,1,100.0
471.89,1,0,1,100.0
441.58,1,0,1,100.0
213.68,1,0,1,100.0
327.05,1,0,1,100.0
4007.57,1,0,1,100.0
2065.82,1,0,1,100.0
191.53,1,0,1,100.0
479.95,1,0,1,100.0
457.42,1,0,1,100.0
809.9,1,0,1,100.0
4549.62,1,0,1,100.0
4338.78,1,0,1,100.0
555.83,1,0,1,100.0
292.5,1,0,1,100.0
894.65,1,0,1,100.0
444.99,1,0,1,100.0
541.56,1,0,1,100.0
453.7,1,0,1,100.0
612.28,1,0,1,100.0
305.93,1,0,1,100.0
363.48,1,0,1,100.0
476.19,1,0,1,100.0
129.2,1,0,1,100.0
512.4,1,0,1,100.0
307.41,1,0,1,100.0
709.16,1,0,1,100.0
527.87,1,0,1,100.0
577.57,1,0,1,100.0
570.07,1,0,1,100.0
343.4,1,0,1,100.0
842.95,1,0,1,100.0
419.51,1,0,1,100.0
189.91,1,0,1,100.0
431.43,1,0,1,100.0
139.52,1,0,1,100.0
342.09,1,0,1,100.0
543.4,1,0,1,100.0
315.95,1,0,1,100.0
346.77,1,0,1,100.0
332.76,1,0,1,100.0
302.15,1,0,1,100.0
465.25,1,0,1,100.0
101.28,1,0,1,100.0
596.13,1,0,1,100.0
506.11,1,0,1,100.0
575.17,1,0,1,100.0
535.38,1,0,1,100.0
376.82,1,0,1,100.0
504.95,1,0,1,100.0
324.25,1,0,1,100.0
404.24,1,0,1,100.0
1100.9,1,0,1,100.0
218.76,1,0,1,100.0
629.12,1,0,1,100.0
549.15,1,0,1,100.0
327.65,1,0,1,100.0
427.78,1,0,1,100.0
3240.69,1,0,1,100.0
254.33,1,0,1,100.0
160.94,1,0,1,100.0
214.86,1,0,1,100.0
721.09,1,0,1,100.0
219.36,1,0,1,100.0
584.16,1,0,1,100.0
237.8,1,0,1,100.0
2321.67,1,0,1,100.0
861.84,1,0,1,100.0
461.65,1,0,1,100.0
295.18,1,0,1,100.0
625.06,1,0,1,100.0
370.79,1,0,1,100.0
374.02,1,0,1,100.0
510.96,1,0,1,100.0
381.62,1,0,1,100.0
584.22,1,0,1,100.0
576.31,1,0,1,100.0
577.79,1,0,1,100.0
419.78,1,0,1,100.0
720.35,1,0,1,100.0
718.43,1,0,1,100.0
509.28,1,0,1,100.0
458.23,1,0,1,100.0
507.87,1,0,1,100.0
4458.66,1,0,1,100.0
714.44,1,0,1,100.0
745.48,1,0,1,100.0
394.25,1,0,1,100.0
907.98,1,0,1,100.0
2798.94,1,0,1,100.0
471.5,1,0,1,100.0
187.23,1,0,1,100.0
559.85,1,0,1,100.0
342.61,1,0,1,100.0
347.73,1,0,1,100.0
265.7,1,0,1,100.0
636.99,1,0,1,100.0
4161.11,1,0,1,100.0
303.55,1,0,1,100.0
503.28,1,0,1,100.0
773.04,1,0,1,100.0
387.19,1,0,1,100.0
241.06,1,0,1,100.0
2872.24,1,0,1,100.0
501.77,1,0,1,100.0
267.62,1,0,1,100.0
478.96,1,0,1,100.0
531.24,1,0,1,100.0
426.05,1,0,1,100.0
792.24,1,0,1,100.0
283.51,1,0,1,100.0
895.47,1,0,1,100.0
1457.34,1,0,1,100.0
5347.74,1,0,1,100.0
404.74,1,0,1,100.0
133.54,1,0,1,100.0
759.18,1,0,1,100.0
168.12,1,0,1,100.0
141.37,1,0,1,100.0
381.08,1,0,1,100.0
336.27,1,0,1,100.0
2732.34,1,0,1,100.0
1777.02,1,0,1,100.0
334.3,1,0,1,100.0
329.5,1,0,1,100.0
241.7,1,0,1,100.0
335.31,1,0,1,100.0
302.82,1,0,1,100.0
4241.7,1,0,1,100.0
248.93,1,0,1,100.0
1298.23,1,0,1,100.0
1174.68,1,0,1,100.0
437.47,1,0,1,100.0
1181.69,1,0,1,100.0
380.42,1,0,1,100.0
244.8,1,0,1,100.0
303.43,1,0,1,100.0
3340.32,1,0,1,100.0
269.43,1,0,1,100.0
191.86,1,0,1,100.0
899.91,1,0,1,100.0
367.24,1,0,1,100.0
339.91,1,0,1,100.0
218.21,1,0,1,100.0
494.2,1,0,1,100.0
490.88,1,0,1,100.0
513.75,1,0,1,100.0
502.98,1,0,1,100.0
810.77,1,0,1,100.0
436.74,1,0,1,100.0
1140.84,1,0,1,100.0
381.95,1,0,1,100.0
6369.83,1,0,1,100.0
5336.61,1,0,1,100.0
384.47,1,0,1,100.0
284.53,1,0,1,100.0
752.1,1,0,1,100.0
308.75,1,0,1,100.0
720.74,1,0,1,100.0
745.79,1,0,1,100.0
744.9,1,0,1,100.0
940.85,1,0,1,100.0
389.04,1,0,1,100.0
654.98,1,0,1,100.0
953.85,1,0,1,100.0
534.57,1,0,1,100.0
313.34,1,0,1,100.0
183.32,1,0,1,100.0
2745.84,1,0,1,100.0
1520.17,1,0,1,100.0
425.49,1,0,1,100.0
518.27,1,0,1,100.0
314.25,1,0,1,100.0
410.77,1,0,1,100.0
163.66,1,0,1,100.0
323.23,1,0,1,100.0
123.1,1,0,1,100.0
1017.54,1,0,1,100.0
313.8,1,0,1,100.0
467.04,1,0,1,100.0
136.35,1,0,1,100.0
179.73,1,0,1,100.0
312.61,1,0,1,100.0
546.83,1,0,1,100.0
559.56,1,0,1,100.0
459.46,1,0,1,100.0
419.16,1,0,1,100.0
420.68,1,0,1,100.0
521.58,1,0,1,100.0
254.58,1,0,1,100.0
315.48,1,0,1,100.0
770.08,1,0,1,100.0
433.08,1,0,1,100.0
148.4,1,0,1,100.0
581.74,1,0,1,100.0
303.34,1,0,1,100.0
485.9,1,0,1,100.0
327.87,1,0,1,100.0
259.52,1,0,1,100.0
1840.89,1,0,1,100.0
3076.25,1,0,1,100.0
133.84,1,0,1,100.0
446.83,1,0,1,100.0
362.31,1,0,1,100.0
476.75,1,0,1,100.0
118.27,1,0,1,100.0
422.51,1,0,1,100.0
357.56,1,0,1,100.0
586.14,1,0,1,100.0
380.3,1,0,1,100.0
778.06,1,0,1,100.0
541.88,1,0,1,100.0
265.89,1,0,1,100.0
233.17,1,0,1,100.0
369.22,1,0,1,100.0
483.16,1,0,1,100.0
