customer,#total,#benign,#fraud,%fraud
'C1255221015',58,53,5,8.620689655172415
'C1334695551',140,128,12,8.571428571428571
'C1152092987',35,32,3,8.571428571428571
'C445134555',82,75,7,8.536585365853659
'C187473376',130,119,11,8.461538461538462
'C1928842916',156,143,13,8.333333333333332
'C2128263275',108,99,9,8.333333333333332
'C1496962993',108,99,9,8.333333333333332
'C1832119955',72,66,6,8.333333333333332
'C1722275939',48,44,4,8.333333333333332
'C691894544',24,22,2,8.333333333333332
'C1156399058',12,11,1,8.333333333333332
'C1619197936',12,11,1,8.333333333333332
'C969824969',97,89,8,8.24742268041237
'C233539413',73,67,6,8.21917808219178
'C1338396147',195,179,16,8.205128205128204
'C1148772789',49,45,4,8.16326530612245
'C1354768768',74,68,6,8.108108108108109
'C1360265061',37,34,3,8.108108108108109
'C1305161735',161,148,13,8.074534161490684
'C161733249',124,114,10,8.064516129032258
'C1686098746',62,57,5,8.064516129032258
'C1983734850',100,92,8,8.0
'C74966273',100,92,8,8.0
'C144835944',100,92,8,8.0
'C1655037147',75,69,6,8.0
'C1259389151',50,46,4,8.0
'C1020019215',25,23,2,8.0
'C1273692645',113,104,9,7.964601769911504
'C1173530601',88,81,7,7.954545454545454
'C1348847019',139,128,11,7.913669064748201
'C1628244008',38,35,3,7.894736842105263
'C195373250',165,152,13,7.878787878787878
'C1716617782',89,82,7,7.865168539325842
'C279936687',90,83,7,7.777777777777778
'C1214929092',103,95,8,7.766990291262135
'C1101633489',65,60,5,7.6923076923076925
'C895561340',13,12,1,7.6923076923076925
'C1526367312',13,12,1,7.6923076923076925
'C296571542',171,158,13,7.602339181286549
'C46027917',145,134,11,7.586206896551724
'C1871220408',66,61,5,7.575757575757576
'C1489632788',53,49,4,7.547169811320755
'C428728055',40,37,3,7.5
'C1239127666',40,37,3,7.5
'C2070990530',68,63,5,7.352941176470589
'C1163635747',82,76,6,7.317073170731707
'C1383269171',178,165,13,7.303370786516854
'C430579454',110,102,8,7.2727272727272725
'C1317710133',138,128,10,7.246376811594203
'C691839786',69,64,5,7.246376811594203
'C1190687128',69,64,5,7.246376811594203
'C1213984358',98,91,7,7.142857142857142
'C1982277917',70,65,5,7.142857142857142
'C1339724832',56,52,4,7.142857142857142
'C1660594711',28,26,2,7.142857142857142
'C294759668',14,13,1,7.142857142857142
'C655625028',142,132,10,7.042253521126761
'C1142118359',114,106,8,7.017543859649122
'C1889984788',43,40,3,6.976744186046512
'C2080088206',115,107,8,6.956521739130435
'C132320296',130,121,9,6.923076923076923
'C1935661715',145,135,10,6.896551724137931
'C1732568163',87,81,6,6.896551724137931
'C465897830',87,81,6,6.896551724137931
'C1080032135',131,122,9,6.870229007633588
'C1225533078',175,163,12,6.857142857142858
'C405168301',44,41,3,6.8181818181818175
'C2025967620',118,110,8,6.779661016949152
'C44151986',148,138,10,6.756756756756757
'C1223439629',179,167,12,6.70391061452514
'C369566106',90,84,6,6.666666666666667
'C1791014902',75,70,5,6.666666666666667
'C1837321151',15,14,1,6.666666666666667
'C140648396',91,85,6,6.593406593406594
'C875900250',61,57,4,6.557377049180328
'C2076439645',61,57,4,6.557377049180328
'C972314568',92,86,6,6.521739130434782
'C1483927110',46,43,3,6.521739130434782
'C546386486',169,158,11,6.508875739644971
'C1334227305',155,145,10,6.451612903225806
'C1382187685',94,88,6,6.382978723404255
'C403994735',47,44,3,6.382978723404255
'C382789952',173,162,11,6.358381502890173
'C2096367617',79,74,5,6.329113924050633
'C2017390387',79,74,5,6.329113924050633
'C2078688167',95,89,6,6.315789473684211
'C599675908',128,120,8,6.25
'C1389188684',112,105,7,6.25
'C278484907',64,60,4,6.25
'C1609425799',48,45,3,6.25
'C1477378413',32,30,2,6.25
'C904725981',32,30,2,6.25
'C103995111',16,15,1,6.25
'C1476505660',177,166,11,6.214689265536723
'C912671040',130,122,8,6.153846153846154
'C73760959',114,107,7,6.140350877192982
'C201406562',98,92,6,6.122448979591836
'C2079384186',149,140,9,6.0402684563758395
'C578309168',50,47,3,6.0
'C699081415',50,47,3,6.0
'C809005315',67,63,4,5.970149253731343
'C1981089677',185,174,11,5.9459459459459465
'C632643861',102,96,6,5.88235294117647
'C475624028',85,80,5,5.88235294117647
'C1741037105',68,64,4,5.88235294117647
'C1990714179',68,64,4,5.88235294117647
'C1036903280',51,48,3,5.88235294117647
'C1285086629',51,48,3,5.88235294117647
'C766302474',34,32,2,5.88235294117647
'C2027325203',87,82,5,5.747126436781609
'C594793398',88,83,5,5.681818181818182
'C65424442',53,50,3,5.660377358490567
'C723509264',89,84,5,5.617977528089887
'C1342849651',144,136,8,5.555555555555555
'C1204780618',90,85,5,5.555555555555555
'C34948851',72,68,4,5.555555555555555
'C196786098',72,68,4,5.555555555555555
'C907877340',36,34,2,5.555555555555555
'C389212629',18,17,1,5.555555555555555
'C1203244235',128,121,7,5.46875
'C1497615115',92,87,5,5.434782608695652
'C345996643',37,35,2,5.405405405405405
'C931370744',149,141,8,5.369127516778524
'C587216359',149,141,8,5.369127516778524
'C2129810887',75,71,4,5.333333333333334
'C1523732855',75,71,4,5.333333333333334
'C623601481',94,89,5,5.319148936170213
'C624012210',113,107,6,5.3097345132743365
'C828968085',113,107,6,5.3097345132743365
'C234264885',132,125,7,5.303030303030303
'C1826105311',152,144,8,5.263157894736842
'C1789457872',133,126,7,5.263157894736842
'C1055224400',95,90,5,5.263157894736842
'C813347783',57,54,3,5.263157894736842
'C1288983259',57,54,3,5.263157894736842
'C2001505633',38,36,2,5.263157894736842
'C976805632',19,18,1,5.263157894736842
'C1460082550',134,127,7,5.223880597014925
'C2055156879',173,164,9,5.202312138728324
'C274747841',77,73,4,5.194805194805195
'C1349321790',135,128,7,5.185185185185185
'C1240560903',58,55,3,5.172413793103448
'C2055489140',97,92,5,5.154639175257731
'C764316727',78,74,4,5.128205128205128
'C1207935724',78,74,4,5.128205128205128
'C903741897',39,37,2,5.128205128205128
'C253956131',79,75,4,5.063291139240507
'C619464090',79,75,4,5.063291139240507
'C1813823560',79,75,4,5.063291139240507
'C1705927875',79,75,4,5.063291139240507
'C442850319',99,94,5,5.05050505050505
'C208151769',99,94,5,5.05050505050505
'C373733261',159,151,8,5.031446540880504
'C553121592',60,57,3,5.0
'C1708403061',40,38,2,5.0
'C1775239769',40,38,2,5.0
'C56852547',81,77,4,4.938271604938271
'C169775918',61,58,3,4.918032786885246
'C660024200',184,175,9,4.891304347826087
'C592765908',82,78,4,4.878048780487805
'C645521146',82,78,4,4.878048780487805
'C106931168',82,78,4,4.878048780487805
'C967956630',41,39,2,4.878048780487805
'C2051369004',144,137,7,4.861111111111112
'C2027631548',103,98,5,4.854368932038835
'C760368405',103,98,5,4.854368932038835
'C1663162700',124,118,6,4.838709677419355
'C1341583263',62,59,3,4.838709677419355
'C332628188',83,79,4,4.819277108433735
'C2005070127',125,119,6,4.8
'C995844287',146,139,7,4.794520547945205
'C615281750',167,159,8,4.790419161676647
'C1180936672',147,140,7,4.761904761904762
'C922544599',84,80,4,4.761904761904762
'C23992005',84,80,4,4.761904761904762
'C2100371435',127,121,6,4.724409448818897
'C793132240',106,101,5,4.716981132075472
'C1299745394',106,101,5,4.716981132075472
'C639699427',85,81,4,4.705882352941177
'C576358551',64,61,3,4.6875
'C895105444',64,61,3,4.6875
'C179196508',171,163,8,4.678362573099415
'C929919235',86,82,4,4.651162790697675
'C1151600429',43,41,2,4.651162790697675
'C1509106340',108,103,5,4.62962962962963
'C872043603',65,62,3,4.615384615384616
'C1787239285',65,62,3,4.615384615384616
'C1014347664',174,166,8,4.597701149425287
'C100045114',109,104,5,4.587155963302752
'C382331420',132,126,6,4.545454545454546
'C579037870',66,63,3,4.545454545454546
'C1005806982',22,21,1,4.545454545454546
'C839245179',22,21,1,4.545454545454546
'C1283110336',155,148,7,4.516129032258064
'C1499701993',133,127,6,4.511278195488721
'C2052617893',133,127,6,4.511278195488721
'C2022102158',89,85,4,4.49438202247191
'C1835412106',134,128,6,4.477611940298507
'C287182059',67,64,3,4.477611940298507
'C1038277619',112,107,5,4.464285714285714
'C1127069069',180,172,8,4.444444444444445
'C1817842389',68,65,3,4.411764705882353
'C27106217',68,65,3,4.411764705882353
'C1214828746',91,87,4,4.395604395604396
'C1595099029',91,87,4,4.395604395604396
'C1231572628',114,109,5,4.385964912280701
'C1367581052',161,154,7,4.3478260869565215
'C759236361',138,132,6,4.3478260869565215
'C1708261114',115,110,5,4.3478260869565215
'C1352750459',92,88,4,4.3478260869565215
'C1228152586',92,88,4,4.3478260869565215
'C612581943',46,44,2,4.3478260869565215
'C604378279',23,22,1,4.3478260869565215
'C1931900243',185,177,8,4.324324324324325
'C655866157',139,133,6,4.316546762589928
'C446179646',186,178,8,4.301075268817205
'C1423519115',93,89,4,4.301075268817205
'C1204610604',70,67,3,4.285714285714286
'C1326829513',70,67,3,4.285714285714286
'C447271561',187,179,8,4.27807486631016
'C916694479',117,112,5,4.273504273504273
'C2064491438',164,157,7,4.2682926829268295
'C1410823375',141,135,6,4.25531914893617
'C1282333137',71,68,3,4.225352112676056
'C367052603',48,46,2,4.166666666666666
'C940143351',145,139,6,4.137931034482759
'C965801920',121,116,5,4.132231404958678
'C696720817',97,93,4,4.123711340206185
'C644663928',122,117,5,4.098360655737705
'C264736518',122,117,5,4.098360655737705
'C1560676680',147,141,6,4.081632653061225
'C727502065',49,47,2,4.081632653061225
'C1886620334',123,118,5,4.0650406504065035
'C86466018',123,118,5,4.0650406504065035
'C1580753738',74,71,3,4.054054054054054
'C454240137',74,71,3,4.054054054054054
'C495473039',99,95,4,4.040404040404041
'C688041542',124,119,5,4.032258064516129
'C297432139',124,119,5,4.032258064516129
'C1181615831',149,143,6,4.026845637583892
'C898690183',149,143,6,4.026845637583892
'C1787537369',174,167,7,4.022988505747127
'C966214713',100,96,4,4.0
'C2094120486',100,96,4,4.0
'C546697817',50,48,2,4.0
'C1022530210',176,169,7,3.977272727272727
'C228319796',151,145,6,3.9735099337748347
'C85142763',126,121,5,3.968253968253968
'C711451919',101,97,4,3.9603960396039604
'C286236136',127,122,5,3.937007874015748
'C1551572984',153,147,6,3.9215686274509802
'C1453917071',102,98,4,3.9215686274509802
'C1349086787',128,123,5,3.90625
'C156263401',128,123,5,3.90625
'C597122637',77,74,3,3.896103896103896
'C225675370',181,174,7,3.867403314917127
'C721654925',156,150,6,3.8461538461538463
'C846889180',104,100,4,3.8461538461538463
'C399061526',52,50,2,3.8461538461538463
'C761606185',52,50,2,3.8461538461538463
'C1401244511',26,25,1,3.8461538461538463
'C461219673',26,25,1,3.8461538461538463
'C1947369699',132,127,5,3.787878787878788
'C882083718',132,127,5,3.787878787878788
'C1427325535',159,153,6,3.7735849056603774
'C758849918',133,128,5,3.7593984962406015
'C528277773',160,154,6,3.75
'C1694039833',107,103,4,3.7383177570093453
'C980181294',134,129,5,3.731343283582089
'C1503009287',134,129,5,3.731343283582089
'C1556534733',135,130,5,3.7037037037037033
'C1736605496',163,157,6,3.6809815950920246
'C1744858817',136,131,5,3.6764705882352944
'C1046896257',136,131,5,3.6764705882352944
'C323852731',109,105,4,3.669724770642202
'C576436654',164,158,6,3.6585365853658534
'C985141335',82,79,3,3.6585365853658534
'C1124449361',55,53,2,3.6363636363636362
'C301422123',55,53,2,3.6363636363636362
'C1502465707',166,160,6,3.614457831325301
'C2018553540',166,160,6,3.614457831325301
'C2079453894',83,80,3,3.614457831325301
'C1375316332',111,107,4,3.6036036036036037
'C475928775',167,161,6,3.592814371257485
'C1709958311',167,161,6,3.592814371257485
'C1791524453',167,161,6,3.592814371257485
'C861856179',140,135,5,3.571428571428571
'C879260717',56,54,2,3.571428571428571
'C1539474222',28,27,1,3.571428571428571
'C967677653',113,109,4,3.5398230088495577
'C1463141739',113,109,4,3.5398230088495577
'C810002129',57,55,2,3.508771929824561
'C844005460',86,83,3,3.488372093023256
'C1977646698',173,167,6,3.4682080924855487
'C1398865038',174,168,6,3.4482758620689653
'C1440340988',87,84,3,3.4482758620689653
'C2009344338',58,56,2,3.4482758620689653
'C1480640363',58,56,2,3.4482758620689653
'C1334045764',117,113,4,3.418803418803419
'C369805136',176,170,6,3.4090909090909087
'C644590864',176,170,6,3.4090909090909087
'C1855857061',177,171,6,3.389830508474576
'C1355090926',118,114,4,3.389830508474576
'C964123988',59,57,2,3.389830508474576
'C21670075',148,143,5,3.3783783783783785
'C968150727',148,143,5,3.3783783783783785
'C1269217373',119,115,4,3.361344537815126
'C1045324088',119,115,4,3.361344537815126
'C661876608',120,116,4,3.3333333333333335
'C1423828273',120,116,4,3.3333333333333335
'C1598564853',90,87,3,3.3333333333333335
'C34111179',90,87,3,3.3333333333333335
'C1873446390',90,87,3,3.3333333333333335
'C1289997724',90,87,3,3.3333333333333335
'C885237696',60,58,2,3.3333333333333335
'C941369654',60,58,2,3.3333333333333335
'C788057671',30,29,1,3.3333333333333335
'C912222039',30,29,1,3.3333333333333335
'C729632719',30,29,1,3.3333333333333335
'C115540448',151,146,5,3.3112582781456954
'C1160421902',121,117,4,3.3057851239669422
'C1902104464',182,176,6,3.296703296703297
'C1032319289',182,176,6,3.296703296703297
'C869807132',91,88,3,3.296703296703297
'C313157633',152,147,5,3.289473684210526
'C967790734',122,118,4,3.278688524590164
'C1781953799',61,59,2,3.278688524590164
'C2059060401',61,59,2,3.278688524590164
'C1541237057',153,148,5,3.2679738562091507
'C881073190',154,149,5,3.2467532467532463
'C2049382420',154,149,5,3.2467532467532463
'C832611882',154,149,5,3.2467532467532463
'C2093963973',124,120,4,3.225806451612903
'C56859969',124,120,4,3.225806451612903
'C1726895756',124,120,4,3.225806451612903
'C268823556',62,60,2,3.225806451612903
'C54550671',62,60,2,3.225806451612903
'C1486069778',156,151,5,3.205128205128205
'C1775611696',94,91,3,3.1914893617021276
'C303533554',94,91,3,3.1914893617021276
'C1112424232',157,152,5,3.1847133757961785
'C1933962406',126,122,4,3.1746031746031744
'C1630887376',126,122,4,3.1746031746031744
'C736721523',126,122,4,3.1746031746031744
'C1711371239',126,122,4,3.1746031746031744
'C341292164',126,122,4,3.1746031746031744
'C402571153',63,61,2,3.1746031746031744
'C230958403',95,92,3,3.1578947368421053
'C1896850232',192,186,6,3.125
'C85075290',160,155,5,3.125
'C1846274338',160,155,5,3.125
'C1156808163',128,124,4,3.125
'C524035200',96,93,3,3.125
'C2027892936',161,156,5,3.1055900621118013
'C1404684380',161,156,5,3.1055900621118013
'C1914582232',129,125,4,3.10077519379845
'C649077628',129,125,4,3.10077519379845
'C1166337448',162,157,5,3.0864197530864197
'C263489307',65,63,2,3.076923076923077
'C1733778992',98,95,3,3.061224489795918
'C1294166760',131,127,4,3.0534351145038165
'C1839662768',131,127,4,3.0534351145038165
'C1750881279',164,159,5,3.048780487804878
'C1555517201',99,96,3,3.0303030303030303
'C2087229084',99,96,3,3.0303030303030303
'C1982656265',166,161,5,3.0120481927710845
'C692285338',100,97,3,3.0
'C732771224',167,162,5,2.9940119760479043
'C1124718683',67,65,2,2.9850746268656714
'C609359335',67,65,2,2.9850746268656714
'C486662508',67,65,2,2.9850746268656714
'C1715338428',168,163,5,2.976190476190476
'C430880678',168,163,5,2.976190476190476
'C1612832553',101,98,3,2.9702970297029703
'C1045850211',101,98,3,2.9702970297029703
'C1577983313',135,131,4,2.9629629629629632
'C1433092877',170,165,5,2.941176470588235
'C402758720',136,132,4,2.941176470588235
'C290487175',68,66,2,2.941176470588235
'C2095815783',68,66,2,2.941176470588235
'C1344489848',171,166,5,2.923976608187134
'C1957046981',171,166,5,2.923976608187134
'C1830336096',171,166,5,2.923976608187134
'C842799656',171,166,5,2.923976608187134
'C608547225',171,166,5,2.923976608187134
'C1441133487',171,166,5,2.923976608187134
'C1626218926',103,100,3,2.912621359223301
'C971766834',69,67,2,2.898550724637681
'C1657925669',173,168,5,2.8901734104046244
'C1819254965',173,168,5,2.8901734104046244
'C1734487337',174,169,5,2.8735632183908044
'C47809392',175,170,5,2.857142857142857
'C1991822900',175,170,5,2.857142857142857
'C914250073',140,136,4,2.857142857142857
'C274387846',105,102,3,2.857142857142857
'C1683902488',70,68,2,2.857142857142857
'C769941724',70,68,2,2.857142857142857
'C1620127338',141,137,4,2.8368794326241136
'C1631930247',177,172,5,2.824858757062147
'C1511148959',142,138,4,2.8169014084507045
'C245019752',178,173,5,2.8089887640449436
'C531360588',178,173,5,2.8089887640449436
'C616472041',178,173,5,2.8089887640449436
'C1638710158',178,173,5,2.8089887640449436
'C1663056729',107,104,3,2.803738317757009
'C194301248',107,104,3,2.803738317757009
'C521213907',107,104,3,2.803738317757009
'C1840859519',107,104,3,2.803738317757009
'C537423962',143,139,4,2.797202797202797
'C1649412954',143,139,4,2.797202797202797
'C76313164',180,175,5,2.7777777777777777
'C159675329',144,140,4,2.7777777777777777
'C276409392',108,105,3,2.7777777777777777
'C2144562698',145,141,4,2.7586206896551726
'C1420354861',145,141,4,2.7586206896551726
'C1877622224',109,106,3,2.7522935779816518
'C359668643',182,177,5,2.7472527472527473
'C1434797923',146,142,4,2.73972602739726
'C908718101',146,142,4,2.73972602739726
'C1299279378',146,142,4,2.73972602739726
'C137688853',146,142,4,2.73972602739726
'C1194290880',73,71,2,2.73972602739726
'C630302845',73,71,2,2.73972602739726
'C834963773',183,178,5,2.73224043715847
'C1084001812',110,107,3,2.727272727272727
'C784005201',184,179,5,2.717391304347826
'C732095806',185,180,5,2.7027027027027026
'C1070277785',148,144,4,2.7027027027027026
'C1297100897',148,144,4,2.7027027027027026
'C1314174420',111,108,3,2.7027027027027026
'C1125132707',111,108,3,2.7027027027027026
'C463539622',111,108,3,2.7027027027027026
'C594146637',74,72,2,2.7027027027027026
'C752612398',74,72,2,2.7027027027027026
'C2109575612',149,145,4,2.684563758389262
'C1864768620',112,109,3,2.6785714285714284
'C597641228',112,109,3,2.6785714285714284
'C1076110991',112,109,3,2.6785714285714284
'C1837200499',75,73,2,2.666666666666667
'C536412201',75,73,2,2.666666666666667
'C1764447156',151,147,4,2.6490066225165565
'C1986701933',151,147,4,2.6490066225165565
'C660475396',152,148,4,2.631578947368421
'C1576250855',114,111,3,2.631578947368421
'C1494829095',76,74,2,2.631578947368421
'C2017140130',76,74,2,2.631578947368421
'C1428252955',38,37,1,2.631578947368421
'C421432072',115,112,3,2.608695652173913
'C124539163',77,75,2,2.5974025974025974
'C1882290962',116,113,3,2.586206896551724
'C1744280753',116,113,3,2.586206896551724
'C1700550154',116,113,3,2.586206896551724
